0,1,2,3,4,5,6
-243.999985,-254.279984,-251.079987,-247.759995,-243.179993,-243.359985,-239.939987
6.76001,15.240013,19.600014,22.580009,26.460014,25.520012,29.820007
-77.080002,-54.919998,-50.799999,-47.139999,-43.339996,-42.939999,-40.259998
-122.459999,-203.579987,-199.820007,-195.139999,-192.220001,-192.960007,-188.5
-62.359997,-155.660004,-156.940002,-156.419998,-158.320007,-162.919998,-163.860001
18.44001,-18.959999,-19.5,-20.279999,-21.800011,-26.040001,-27.020004
-183.839996,-202.37999,-204.099991,-203.779999,-205.639984,-209.37999,-210.119995
79.780014,80.460007,80.820007,80.200012,78.380005,74.880005,73.420013
-219.87999,-253.73999,-250.099991,-246.159988,-243.059982,-242.87999,-239.23999
-48.939999,26.900009,31.660019,34.380005,38.660019,38.800018,41.440018
-90.660004,-44.119999,-39.599998,-36.139999,-32.520004,-32.520004,-29.160011
-67.119995,-119.300011,-117.539993,-118.18,-119.419998,-123.980011,-124.860001
-137.5,-157.5,-153.119995,-149.479996,-144.899994,-144.619995,-141.580002
74.340012,-19.360001,-19.419998,-20.139999,-19.279999,-24.900002,-27.139999
52.460007,81.860016,79.140015,82.000015,79.600006,76.720016,75.900009
-164.399994,-210.579987,-209.899994,-209.939987,-211.659988,-214.87999,-215.219986
-185.639999,-254.599991,-250.219986,-245.799988,-242.679993,-242.939987,-239.279984
-147.720001,-192.0,-194.0,-193.579987,-194.639999,-198.119995,-201.159988
-150.460007,-29.599998,-25.18,-21.300011,-17.860001,-17.160011,-14.119995
-74.779999,-118.879997,-116.019997,-115.040001,-115.5,-119.879997,-122.220001
-16.259995,-57.179996,-52.659996,-49.439999,-44.919998,-45.48,-41.539997
34.460007,-36.82,-34.5,-33.579994,-35.919998,-38.839996,-40.799999
-108.599998,-154.539993,-148.940002,-144.059998,-140.100006,-139.759995,-136.520004
28.740005,71.720016,75.060013,75.500015,75.060013,70.840012,71.02002
