0,1,2,3,4
-0.02002,-321.960022,-275.920013,-229.899994,-184.240005
-91.980011,-54.02002,-7.320007,-320.600006,-274.540009
-176.660019,-139.460007,-92.62001,-46.320007,-0.540009
-275.019989,-236.360001,-190.920013,-145.460007,-99.360016
-7.860016,-60.340027,-104.000015,-148.200012,-192.660019
-267.480011,-320.200012,-4.680023,-49.320007,-92.940018
-94.76001,-146.26001,-190.920013,-234.899994,-279.279999
-181.360016,-233.020004,-277.779999,-321.759979,-5.840027
0.039978,-321.679993,-275.880005,-229.720001,-184.400009
-87.380005,-48.52002,-3.240021,-317.039978,-271.23999
-176.540009,-138.02002,-91.740005,-45.620026,0.399994
-0.920013,-53.120026,-97.680008,-140.800018,-184.52002
-268.779999,-230.300003,-184.720016,-138.660019,-92.100006
-267.359985,-320.559998,-4.820007,-48.340027,-91.000015
-176.800018,-229.520004,-273.580017,-317.199982,-0.740021
-92.680008,-144.820007,-188.920013,-233.040009,-277.899994
0.199982,-321.119995,-275.359985,-229.520004,-183.560013
-88.920013,-140.500015,-184.640015,-228.560013,-272.940002
-99.980011,-61.740021,-15.640015,30.779999,-282.459991
-3.940002,-54.660004,-98.680008,-142.02002,-185.560013
-180.240005,-141.320007,-93.920013,-48.02002,-2.52002
-273.480011,-324.039978,-8.680023,-52.660004,-96.920013
-268.76001,-229.5,-183.440018,-136.660019,-91.200012
-179.76001,-230.959991,-275.279999,-319.02002,-2.960022
