0,1,2,3,4,5,6,7,8,9,10
-0.040001,20.279999,34.579994,54.319992,74.23999,88.179993,-251.740005,-230.720001,-217.619995,-198.700012,-178.639999
-96.139999,-73.940002,-59.960003,-39.020004,-17.600006,-4.260002,15.479996,35.839996,49.0,67.619995,87.279999
-170.020004,-150.660004,-136.539993,-117.019989,-95.419998,-81.860001,-60.640003,-38.900002,-25.0,-4.5,15.439995
57.059998,79.039993,-268.380005,-248.460007,-229.080002,-216.179993,-196.839996,-177.119995,-165.539993,-147.320007,-128.679993
-55.300003,-70.220001,-92.860001,-109.940002,-126.800003,-149.720001,-164.920013,-182.039993,-205.540009,-222.199997,-239.139999
84.660004,70.599991,46.580002,31.299995,14.199997,-8.87999,-26.000004,-41.760002,-66.040001,-82.980003,-98.860001
-101.639999,-117.37999,-138.320007,-154.920013,-169.220001,-189.399994,-206.080002,-222.619995,-245.540009,-264.320007,79.139999
-172.520004,-194.080002,-216.860001,-234.600006,-249.320007,86.660004,71.639999,57.179993,35.82,20.459999,4.960007
1.540001,23.159996,35.399994,55.23999,75.819992,88.699997,-250.740005,-230.440002,-217.300003,-197.940002,-178.679993
-79.139999,-57.000004,-44.420002,-24.420006,-3.199989,8.479996,29.659996,50.220001,62.179993,82.339996,-258.779999
-147.759995,-128.5,-115.279999,-96.120003,-76.18,-62.68,-43.800003,-22.720001,-11.800003,6.759995,25.5
-18.0,-30.740002,-54.040001,-71.060005,-87.18,-110.560005,-126.160004,-141.759995,-166.5,-184.459991,-201.920013
-266.26001,-245.059998,-230.960007,-210.880005,-189.100006,-175.740005,-154.100006,-134.020004,-121.139999,-102.040001,-83.620003
83.360001,68.380005,47.440002,29.159996,14.659996,-7.580002,-23.800003,-38.900002,-64.87999,-80.800003,-97.860001
-166.880005,-183.920013,-209.380005,-227.220001,-243.680008,-266.660004,78.0,62.179993,40.0,25.459999,9.380005
-108.660004,-122.900002,-144.960007,-159.119995,-173.779999,-194.779999,-208.940002,-224.220001,-248.020004,-264.380005,77.940002
4.360001,22.979996,35.939995,55.259995,76.160004,89.679993,-249.880005,-228.960007,-217.440002,-197.639999,-177.820007
-76.160004,-102.560005,-128.940002,-146.199997,-161.679993,-183.940002,-201.5,-215.940002,-237.800003,-249.740005,-266.339996
-126.980003,-109.339996,-96.540001,-77.220001,-58.160004,-45.600002,-25.87999,-5.740005,5.720001,23.639999,43.599991
-24.639999,-35.520004,-55.580002,-70.940002,-85.779999,-106.519989,-121.160004,-136.720001,-161.959991,-181.220001,-199.300003
-162.059998,-143.979996,-134.039993,-112.339996,-91.779999,-79.060005,-59.740002,-39.420002,-25.160004,-5.779999,14.540001
68.720001,52.919998,32.159996,16.419998,2.059998,-20.639999,-36.100002,-51.680004,-75.120003,-91.839996,-107.199997
-257.26001,-238.380005,-225.339996,-204.800003,-184.0,-169.520004,-148.160004,-128.679993,-115.240005,-96.459999,-77.419998
-173.779999,-188.899994,-214.420013,-231.699997,-246.199997,-269.960022,74.580002,61.139999,36.879997,21.939995,7.759995
