0,1,2,3,4
-0.139999,41.0,84.999985,-229.000015,-183.820007
-268.040009,-228.76001,-186.860016,-142.700012,-98.540001
-178.860016,-144.720001,-90.700005,-46.279999,-6.66
-91.700005,-52.040001,-8.32,37.620003,83.259987
-0.279999,-57.68,-94.440002,-137.12001,-184.300018
-87.880005,-145.26001,-188.040009,-228.900009,86.23999
-266.019989,36.240013,-8.12,-51.099998,-94.580002
-185.880005,-232.500015,84.919991,40.300003,-3.92
1.02,40.900002,83.899986,-229.460007,-183.12001
-269.540009,-229.540009,-184.740005,-139.040009,-95.020004
-182.220016,-143.660004,-94.739998,-46.540001,-5.199999
0.679991,-52.459999,-94.060005,-138.840012,-182.520004
-86.040001,-48.959999,-8.54,38.340004,88.319992
-90.980003,-146.62001,-182.920013,-222.320007,-267.600006
-177.600006,-231.040009,84.73999,43.639999,-0.119999
-267.059998,33.5,-4.860001,-46.940002,-92.060005
0.24,40.559998,85.019989,-229.200012,-183.300018
-259.119995,47.260002,-1.18,-45.559998,-87.400002
79.399986,-234.62001,-180.240005,-139.860001,-99.459999
0.84,-50.760002,-95.560005,-136.360001,-178.540009
-183.900009,-145.220001,-93.040001,-46.5,-9.179999
-90.060005,-139.780014,-187.180008,-233.000015,87.119987
-88.139999,-48.619999,-4.699999,37.660011,84.539986
-180.900009,-230.300018,86.939987,43.039986,-2.74
