0,1,2,3,4
0.059998,38.23999,83.119995,-231.320007,-185.279999
-270.839996,-232.360001,-187.179993,-141.020004,-95.240005
-172.52002,-134.860016,-89.860016,-43.780014,2.619995
-98.500015,-60.180008,-15.620026,29.23999,74.660004
-15.380005,-67.76001,-112.440018,-156.76001,-200.600006
-87.700012,-140.220016,-184.580002,-228.720001,-272.519989
85.399994,33.059998,-11.480011,-55.220016,-98.100006
-179.820007,-232.820007,82.879974,39.079987,-5.26001
0.660004,37.859985,83.139984,-231.160004,-185.460022
-261.399994,-224.380005,-179.139999,-133.060013,-87.540009
-169.5,-132.280014,-86.800018,-40.360016,5.73999
-2.240021,-54.980011,-99.380005,-143.240005,-187.160004
-85.200012,-47.26001,-1.400024,44.359985,-270.519989
-86.800018,-140.280014,-184.559998,-228.5,-272.940002
-172.140015,-225.839996,-270.459991,45.259979,0.97998
-273.160004,34.47998,-9.720001,-53.460007,-97.500015
1.059998,38.119995,83.47998,-230.979996,-185.160004
-267.73999,38.339996,-6.02002,-50.100006,-94.500015
73.619995,-248.580002,-202.959991,-156.880005,-111.100006
-2.800018,-54.920013,-99.960007,-144.300018,-189.039993
-173.960022,-137.420013,-91.840012,-45.380005,0.5
-95.040009,-147.420013,-192.300003,-236.699997,78.559998
-83.340012,-45.560013,0.139984,45.859985,-268.880005
-178.020004,-230.020004,85.799988,42.160004,-2.740021
