0,1,2,3,4
0.099991,45.919998,84.699997,130.940002,176.380005
91.499992,136.360001,175.300003,-138.940018,-90.520004
196.820007,-117.100021,-77.100021,-29.840012,16.759995
-103.100021,-58.979996,-20.660004,24.360001,70.299988
-26.660004,-72.840012,-125.780014,191.080002,145.479996
-84.979996,-129.62001,178.399994,132.779999,87.539993
87.419998,44.899994,-3.800003,-48.160019,-94.699997
184.919998,139.940002,90.179993,43.119995,-0.62001
0.439987,45.87999,85.119995,130.459991,176.399994
110.799995,156.979996,195.380005,-119.020004,-73.259995
207.419998,-107.340012,-67.979996,-22.720001,22.799988
0.919998,-44.259995,-96.840012,-141.520004,174.020004
-79.240005,-34.76001,3.819992,50.179993,96.139992
-85.139999,-130.340012,177.080002,132.259995,86.439987
195.160004,149.979996,97.919991,51.860001,7.279999
88.399994,45.37999,-5.740005,-50.440018,-95.819992
0.799988,46.360001,85.37999,131.179993,177.639999
92.899994,51.519989,2.039993,-41.740005,-86.919998
66.699997,111.319992,149.679993,195.779999,-119.139999
1.0,-43.100021,-94.660019,-138.560013,175.940002
196.300003,-117.300003,-77.500015,-31.62001,15.759995
-96.979996,-140.960007,167.820007,124.459991,77.899994
-75.979996,-30.600006,8.939987,55.5,101.199997
190.600006,146.279999,93.539993,47.539993,2.759995
