0,1,2,3,4,5,6
-221.419998,-219.860001,-214.059998,-211.619995,-209.5,-208.0,-208.360001
10.360005,-338.980011,10.539998,-337.040009,-335.660004,-330.160004,-332.5
-19.39999,-5.239989,-6.719991,-1.59999,2.600011,3.780011,4.260007
223.940002,204.26001,223.860001,220.480011,220.060013,210.139999,231.339996
-129.160004,-130.959991,-133.220001,-134.860001,-145.619995,-140.940002,-154.419998
-45.679989,-39.539989,-45.580002,-33.639992,-64.439995,-56.679989,-70.599983
-220.059998,-236.459991,-253.479996,-197.979996,-213.279999,-218.440002,-229.179993
-2.25999,-208.199997,-208.839996,-205.37999,-32.199989,-29.159992,-43.37999
-222.199997,-216.679993,-217.459991,-212.459991,-210.080002,-205.539993,-209.819992
-288.220001,-296.779999,-285.400024,-295.240021,-282.240021,-284.900024,-286.200012
-3.09999,-13.059989,0.10001,-10.059989,-4.37999,-5.67999,-10.659989
-148.279999,-144.759995,-149.580002,-144.319992,-154.319992,-159.399994,-153.959991
-161.899994,-146.259995,-139.319992,-136.860001,-143.539993,-133.300003,-141.459991
-84.279984,-92.879997,-90.82,-86.519989,-98.419998,-89.159996,-95.279999
-334.900024,-334.279999,-335.740021,-338.080017,-336.600006,-338.279999,-343.140015
-279.820007,-284.740021,-283.580017,-287.740021,-289.5,-288.380005,-300.559998
-222.839996,-216.619995,-212.819992,-212.520004,-210.119995,-201.559998,-207.619995
-221.559998,-232.73999,-231.419998,-233.599991,-250.240005,-250.639999,-263.400024
-283.180023,-277.420013,-289.720001,-291.920013,-304.680023,-291.120026,-296.559998
-124.639999,-131.800003,-125.979996,-130.619995,-136.5,-129.940002,-137.259995
-337.300018,-337.860016,-326.360016,-330.540009,-334.779999,-323.279999,-334.080017
-104.559998,-102.739998,-105.739998,-99.019997,-99.139999,-102.039993,-104.860001
-103.68,-78.979988,-81.639984,-63.500004,-74.05999,-69.639984,-67.039986
-340.040009,10.939992,9.459992,1.14001,7.50002,-14.93999,-2.13999
